,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
50,True,0,1,11.0,30,0.9923049320382256,3216.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/64.pkl
51,True,0,1,50.0,5,0.9935181964979783,5616.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/70.pkl
52,False,0,1,3.3,60,0.8786212240806069,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/58.pkl
53,False,4,0,50.0,5,0.04140050521539716,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/159.pkl
54,False,7,3,0.31,150,0.007907941712571911,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/165.pkl
55,False,0,1,3.3,60,0.5974693475573404,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/171.pkl
56,False,3,0,0.31,150,0.028741452037367037,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/213.pkl
57,False,3,0,50.0,5,0.04564332196182649,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/207.pkl
58,False,2,3,50.0,5,0.033131889302080116,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/206.pkl
59,False,0,5,50.0,5,0.07639908299402133,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/212.pkl
60,False,0,1,3.3,60,0.9686274955300489,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/170.pkl
61,False,7,2,1.83,90,0.02594557503868243,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/164.pkl
62,False,4,2,0.92,120,0.1643600768941195,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/158.pkl
63,False,2,0,0.31,150,0.13387668593283322,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/59.pkl
64,True,0,1,11.0,30,0.9911910829712545,5816.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/71.pkl
65,False,0,1,3.3,60,0.5604925652353456,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/65.pkl
66,False,5,4,3.3,60,0.1149831413071694,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/16.pkl
67,False,3,4,1.83,90,0.018948773863405943,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/103.pkl
68,False,1,2,3.3,60,0.3478101798480291,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/117.pkl
69,False,0,2,0.92,120,0.1247372997503532,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/116.pkl
70,False,4,1,11.0,30,0.12968180985085667,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/102.pkl
71,False,3,2,11.0,30,0.1472408619830804,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/17.pkl
