,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
138,True,0,1,50.0,5,0.9903381804343774,4216.666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/196.pkl
139,False,1,0,50.0,5,0.08459623940700636,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/40.pkl
140,False,4,3,1.83,90,0.06804335696383369,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/54.pkl
141,False,1,0,3.3,60,0.4752404840205807,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/6.pkl
142,False,0,1,11.0,30,0.9875627967938779,8000.000000000001,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/141.pkl
143,True,0,1,11.0,30,0.9910609228261397,4016.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/155.pkl
144,False,3,5,1.83,90,0.5013187868682665,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/83.pkl
145,False,2,3,3.3,60,0.5995139705639574,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/97.pkl
146,True,0,1,11.0,30,0.992281904063381,3616.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/169.pkl
147,False,4,3,50.0,5,0.03686673428753156,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/223.pkl
148,False,4,7,3.3,60,0.17011940297920747,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/222.pkl
149,False,0,1,3.3,60,0.38689670476994814,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/96.pkl
150,True,0,1,50.0,5,0.9907062998718578,3416.666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/168.pkl
151,False,4,2,1.83,90,0.30873990225087583,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/82.pkl
152,True,0,1,50.0,5,0.9935532735471224,6416.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/154.pkl
153,True,0,1,50.0,5,0.9940363172698596,3416.666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/140.pkl
154,False,7,8,3.3,60,0.15216893281712454,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/55.pkl
155,True,0,1,50.0,5,0.9949333298816283,2616.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/7.pkl
156,False,0,2,3.3,60,0.09767236182434677,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/41.pkl
157,False,3,1,3.3,60,0.13468278502406947,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/69.pkl
158,True,0,1,11.0,30,0.9931550000273963,4016.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/197.pkl
159,True,0,1,11.0,30,0.9909757809814249,6416.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/183.pkl
160,False,8,0,1.83,90,0.02729379319801529,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/195.pkl
161,False,1,2,3.3,60,0.3369957517330914,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/181.pkl
162,False,2,1,0.92,120,0.1845273239336055,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/5.pkl
163,True,0,1,11.0,30,0.9926524188774297,5416.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/57.pkl
164,True,0,1,11.0,30,0.9945147169438739,6816.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/43.pkl
165,False,0,1,3.3,60,0.5543544925921853,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/156.pkl
166,False,0,1,3.3,60,0.616987111074352,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/142.pkl
167,False,1,3,11.0,30,0.7087851620965532,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/94.pkl
168,False,5,4,0.92,120,0.08381958075786333,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/80.pkl
169,False,7,3,11.0,30,0.03805152074400335,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/220.pkl
170,False,2,3,0.31,150,0.1755083764189244,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/208.pkl
171,False,2,1,50.0,5,0.3305002445362653,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/209.pkl
