,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
197,False,0,1,1.83,90,0.8806797472758603,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/185.pkl
198,True,0,1,3.3,60,0.9902713111946139,7416.666666666667,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/191.pkl
199,False,0,1,0.92,120,0.5881867287701243,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/47.pkl
200,False,5,4,1.83,90,0.9334095499579785,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/53.pkl
201,False,0,1,3.3,60,0.9052475944182464,8000.000000000001,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/1.pkl
202,False,0,1,1.83,90,0.9861464707221291,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/45.pkl
203,False,0,1,1.83,90,0.9834795857948287,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/3.pkl
204,False,0,1,3.3,60,0.9845685326415131,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/51.pkl
205,True,0,1,3.3,60,0.991747404550663,6416.666666666667,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/79.pkl
206,False,0,1,0.92,120,0.844832967870721,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/187.pkl
207,False,0,1,0.92,120,0.6401346370504687,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/193.pkl
208,False,0,1,3.3,60,0.9894948814104031,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/86.pkl
209,False,0,1,1.83,90,0.9802739914660226,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/178.pkl
210,True,0,1,11.0,30,0.993246331233775,3416.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/92.pkl
211,False,0,1,0.92,120,0.8732215887342085,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/144.pkl
212,False,0,1,1.83,90,0.9345147281682507,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/150.pkl
213,False,0,1,0.92,120,0.9530502604588974,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/151.pkl
214,False,0,1,0.31,150,0.6704064108169674,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/145.pkl
215,True,0,1,3.3,60,0.9905615523210042,6416.666666666667,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/93.pkl
216,False,0,1,1.83,90,0.9024229932439999,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/87.pkl
217,False,0,1,0.92,120,0.9274587755161251,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/179.pkl
218,False,0,1,1.83,90,0.9077071181144202,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/192.pkl
219,True,0,1,11.0,30,0.9938200150123941,2816.666666666667,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/78.pkl
220,False,3,5,0.92,120,0.6099625763139637,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/186.pkl
221,True,0,1,3.3,60,0.9919465556874848,6016.666666666667,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/2.pkl
222,True,0,1,11.0,30,0.9932488119503506,2616.666666666667,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/50.pkl
223,False,0,1,3.3,60,0.5465354042834243,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/44.pkl
