,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT,realSubtlety,numberObjects,trajectoryFilename
28,False,1,2,11.0,30,0.2578762664359389,8000.000000000001,120,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/88.pkl
29,False,0,1,50.0,5,0.46741661365131393,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/63.pkl
30,False,0,1,50.0,5,0.6598517518597287,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/189.pkl
31,False,0,1,11.0,30,0.4304551695023561,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/77.pkl
32,False,3,1,11.0,30,0.07210409370217113,8000.000000000001,90,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/73.pkl
33,False,0,2,11.0,30,0.305350661461101,8000.000000000001,90,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/199.pkl
34,False,3,2,11.0,30,0.16176157161886454,8000.000000000001,120,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/67.pkl
35,False,0,1,11.0,30,0.7743332097798793,8000.000000000001,60,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/9.pkl
36,False,0,1,1.83,90,0.2730715789977193,8000.000000000001,120,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/172.pkl
37,False,6,0,11.0,30,0.03833295404395966,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/166.pkl
38,False,0,1,50.0,5,0.7581278850651789,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/98.pkl
39,False,0,1,50.0,5,0.5343082817056352,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/204.pkl
40,False,0,1,50.0,5,0.929475274547398,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/210.pkl
41,False,0,1,50.0,5,0.6161922314334547,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/211.pkl
42,False,0,1,1.83,90,0.38007849627289664,8000.000000000001,60,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/205.pkl
43,False,7,5,11.0,30,0.03033841349084307,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/167.pkl
44,False,0,1,11.0,30,0.3780964824665584,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/99.pkl
45,False,0,2,3.3,60,0.2647311048299605,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/173.pkl
46,False,0,1,50.0,5,0.8676305076983438,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/8.pkl
47,False,0,1,3.3,60,0.46590273583893105,8000.000000000001,60,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/198.pkl
48,False,0,1,11.0,30,0.23808250166089684,8000.000000000001,90,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/66.pkl
49,False,4,2,3.3,60,0.28622729149861387,8000.000000000001,60,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/72.pkl
50,False,0,1,11.0,30,0.7150122871805666,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/64.pkl
51,False,0,1,50.0,5,0.9109089836424125,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/70.pkl
52,False,0,1,11.0,30,0.23933288372002953,8000.000000000001,60,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/58.pkl
53,False,5,3,11.0,30,0.2680837222716989,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/159.pkl
54,False,0,1,50.0,5,0.045789813885819916,8000.000000000001,120,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/165.pkl
55,False,2,0,50.0,5,0.13593608378135824,8000.000000000001,90,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/171.pkl
56,False,4,3,11.0,30,0.06439898005372395,8000.000000000001,90,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/213.pkl
57,False,2,3,1.83,90,0.12225419832176895,8000.000000000001,120,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/207.pkl
58,False,0,1,1.83,90,0.36650141648505274,8000.000000000001,90,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/206.pkl
59,False,0,1,3.3,60,0.07442140250336253,8000.000000000001,60,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/212.pkl
60,False,0,1,11.0,30,0.6743502372497597,8000.000000000001,60,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/170.pkl
61,False,8,5,50.0,5,0.04464975735227289,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/164.pkl
62,False,4,3,50.0,5,0.06284235062419305,8000.000000000001,120,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/158.pkl
63,False,2,0,0.31,150,0.129655349236896,8000.000000000001,90,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/59.pkl
64,False,0,1,11.0,30,0.7590019895677077,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/71.pkl
65,False,0,1,3.3,60,0.08243807134225405,8000.000000000001,60,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/65.pkl
66,False,5,1,1.83,90,0.047460756755623744,8000.000000000001,60,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/16.pkl
67,False,1,5,11.0,30,0.0495068372298268,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/103.pkl
68,False,1,2,11.0,30,0.3220651996524571,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/117.pkl
69,False,0,1,1.83,90,0.13133389049235047,8000.000000000001,120,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/116.pkl
70,False,4,1,50.0,5,0.08057866020404286,8000.000000000001,120,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/102.pkl
71,False,3,2,11.0,30,0.06335343684223901,8000.000000000001,90,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/17.pkl
72,False,0,1,11.0,30,0.7983674077865855,8000.000000000001,30,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/29.pkl
73,False,0,1,11.0,30,0.5956119091278123,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/15.pkl
74,False,0,1,1.83,90,0.5480899055640909,8000.000000000001,60,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/114.pkl
75,False,0,2,3.3,60,0.05230420296216217,8000.000000000001,60,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/100.pkl
76,False,0,1,50.0,5,0.10543458219769596,8000.000000000001,60,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/128.pkl
77,False,0,1,3.3,60,0.08403855818866053,8000.000000000001,90,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/129.pkl
78,False,0,4,11.0,30,0.060173017699777086,8000.000000000001,90,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/101.pkl
79,False,0,1,1.83,90,0.28882791757843157,8000.000000000001,90,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/115.pkl
80,False,0,1,50.0,5,0.5777057893881804,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/14.pkl
81,False,0,1,50.0,5,0.7872458597397373,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/28.pkl
82,False,0,1,11.0,30,0.12592748942215853,8000.000000000001,90,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/10.pkl
83,False,2,1,11.0,30,0.14084826247920246,8000.000000000001,90,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/38.pkl
84,False,5,1,50.0,5,0.04461085158496019,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/139.pkl
85,False,1,4,50.0,5,0.02019801682074532,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/111.pkl
86,False,7,2,50.0,5,0.049763312278888715,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/105.pkl
87,False,5,4,1.83,90,0.05478894748305249,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/104.pkl
88,False,1,2,11.0,30,0.0249237265660585,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/110.pkl
89,False,7,5,50.0,5,0.06566092873653853,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/138.pkl
90,False,2,0,1.83,90,0.13470626513938513,8000.000000000001,120,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/39.pkl
91,False,0,1,50.0,5,0.22599714509480506,8000.000000000001,120,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/11.pkl
92,False,0,2,3.3,60,0.11232156580375054,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/13.pkl
93,False,0,1,50.0,5,0.7003799628278832,8000.000000000001,30,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/106.pkl
94,False,0,1,50.0,5,0.6652939987975776,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/112.pkl
95,False,0,1,11.0,30,0.7637815330350909,8000.000000000001,30,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/113.pkl
96,False,0,1,3.3,60,0.053010657440248736,8000.000000000001,60,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/107.pkl
97,False,0,2,50.0,5,0.14655099168534097,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/12.pkl
98,False,0,1,11.0,30,0.041495825336107794,8000.000000000001,60,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/23.pkl
99,False,0,1,1.83,90,0.4097137037817806,8000.000000000001,60,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/37.pkl
100,False,3,2,3.3,60,0.12498720879094576,8000.000000000001,90,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/122.pkl
101,False,8,3,11.0,30,0.02232568640547536,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/136.pkl
102,False,7,6,3.3,60,0.021847249786990874,8000.000000000001,120,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/137.pkl
103,False,2,3,50.0,5,0.0988841124556765,8000.000000000001,120,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/123.pkl
104,False,0,1,11.0,30,0.8220857489682508,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/36.pkl
105,False,0,1,11.0,30,0.16083924388522156,8000.000000000001,30,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/22.pkl
106,False,0,1,50.0,5,0.1626014343061071,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/34.pkl
107,False,4,3,50.0,5,0.04651188468512759,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/20.pkl
108,False,3,0,11.0,30,0.032614423407075696,8000.000000000001,60,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/135.pkl
109,False,1,3,11.0,30,0.20437935752964387,8000.000000000001,60,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/121.pkl
110,False,4,7,50.0,5,0.030768113925515515,8000.000000000001,120,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/109.pkl
111,False,4,7,11.0,30,0.048536272506611675,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/108.pkl
112,False,0,1,11.0,30,0.4026526458952464,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/120.pkl
113,False,0,1,11.0,30,0.324245500295427,8000.000000000001,30,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/134.pkl
114,False,0,1,50.0,5,0.6520183834315763,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/21.pkl
115,False,0,1,50.0,5,0.6571325709217076,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/35.pkl
116,False,0,1,1.83,90,0.17775774458490812,8000.000000000001,90,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/31.pkl
117,False,6,7,3.3,60,0.06513055711483877,8000.000000000001,120,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/25.pkl
118,False,3,1,3.3,60,0.06004393960171476,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/19.pkl
119,False,2,0,0.92,120,0.16174144612417116,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/118.pkl
120,False,4,5,11.0,30,0.4885997298467723,8000.000000000001,120,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/130.pkl
121,False,1,2,1.83,90,0.1053788978061268,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/124.pkl
122,False,2,1,11.0,30,0.10009921629097386,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/125.pkl
123,False,4,2,11.0,30,0.08202679213160871,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/131.pkl
124,False,0,1,50.0,5,0.9319372641933285,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/119.pkl
125,False,5,4,50.0,5,0.04523923561282204,8000.000000000001,120,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/18.pkl
126,False,3,8,50.0,5,0.05171967781064586,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/24.pkl
127,False,0,1,3.3,60,0.6746973296164245,8000.000000000001,60,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/30.pkl
128,False,7,4,11.0,30,0.026181141232863955,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/26.pkl
129,False,2,1,1.83,90,0.18793747495960939,8000.000000000001,120,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/32.pkl
130,False,0,1,50.0,5,0.7798191769561187,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/127.pkl
131,False,0,1,50.0,5,0.8984968505990316,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/133.pkl
132,False,0,2,3.3,60,0.10073951632539854,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/132.pkl
133,False,0,1,11.0,30,0.51720070821813,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/126.pkl
134,False,0,2,11.0,30,0.25563982368361876,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/33.pkl
135,False,3,8,3.3,60,0.02716247257028462,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/27.pkl
136,False,0,1,50.0,5,0.09685313640176198,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/182.pkl
137,False,3,1,1.83,90,0.08700076698376806,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/68.pkl
